transaction_id,amount,hour,country_risk_score,device_age_days,account_age_days,failed_logins_24h,transactions_1h,velocity_24h,is_new_device,is_cross_border,merchant_risk_score,fraud_label
TXN-000001,605.98,19,0.136,1410,3028,1,3,9,0,0,0.472,0
TXN-000002,75.8,20,0.097,1448,332,1,3,7,0,0,0.708,0
TXN-000003,100.28,14,0.396,425,1855,2,1,8,0,0,0.607,0
TXN-000004,66.94,21,0.385,1334,582,0,1,9,0,0,0.361,0
TXN-000005,77.57,13,0.292,791,1017,2,2,8,0,0,0.297,0
TXN-000006,29.39,19,0.324,27,3813,1,2,5,0,0,0.318,0
TXN-000007,17.32,6,0.17,1251,2321,0,4,10,1,0,0.145,0
TXN-000008,74.14,16,0.393,196,3648,1,0,10,0,0,0.216,0
TXN-000009,5.38,1,0.524,945,3230,2,1,4,1,0,0.565,0
TXN-000010,84.79,2,0.193,1422,3067,1,0,10,0,0,0.523,0
TXN-000011,68.64,16,0.189,222,3776,1,1,8,0,0,0.082,0
TXN-000012,22.44,9,0.413,1495,1006,0,2,10,1,1,0.244,0
TXN-000013,48.85,4,0.322,797,2632,2,2,7,0,0,0.144,0
TXN-000014,18.94,4,0.173,745,1028,1,2,11,0,0,0.173,0
TXN-000015,15.91,10,0.352,934,3259,0,2,7,0,0,0.272,0
TXN-000016,105.12,20,0.315,1168,2422,0,1,4,0,1,0.222,0
TXN-000017,48.95,11,0.091,526,3415,2,1,10,0,0,0.117,0
TXN-000018,292.59,9,0.21,808,1770,2,3,13,0,0,0.448,1
TXN-000019,547.83,10,0.374,998,859,1,0,9,1,0,0.528,1
TXN-000020,80.12,12,0.402,49,597,1,3,5,0,1,0.345,0
TXN-000021,54.74,11,0.22,802,3434,0,2,4,0,0,0.246,0
TXN-000022,220.02,19,0.271,1279,3348,1,3,10,0,0,0.244,0
TXN-000023,7.34,6,0.579,908,1578,0,4,12,1,0,0.301,0
TXN-000024,12.69,17,0.595,984,865,2,0,8,0,0,0.574,0
TXN-000025,35.35,17,0.307,694,925,2,5,7,0,0,0.345,0
TXN-000026,59.77,22,0.414,1354,3792,0,3,9,1,0,0.202,0
TXN-000027,47.79,6,0.164,943,1355,0,2,9,0,0,0.161,0
TXN-000028,48.64,23,0.497,69,1942,0,2,6,1,1,0.263,0
TXN-000029,90.71,23,0.696,1300,1741,2,3,8,1,0,0.336,1
TXN-000030,43.51,21,0.423,1259,389,1,3,6,1,1,0.13,1
TXN-000031,76.61,6,0.152,910,3510,1,4,6,0,0,0.387,0
TXN-000032,56.24,13,0.524,1031,1852,0,4,12,0,1,0.401,0
TXN-000033,24.6,2,0.437,273,2579,0,0,4,0,1,0.557,0
TXN-000034,19.03,5,0.186,1452,3139,0,1,6,0,0,0.367,0
TXN-000035,15.75,0,0.313,1477,1775,0,3,6,0,1,0.207,0
TXN-000036,65.68,3,0.189,767,566,1,3,8,0,0,0.051,0
TXN-000037,35.99,16,0.316,1451,509,0,1,6,1,0,0.551,0
TXN-000038,270.9,18,0.166,539,705,1,3,11,0,1,0.035,0
TXN-000039,51.32,18,0.619,676,1129,2,3,8,0,0,0.162,1
TXN-000040,297.87,18,0.194,173,1822,2,1,9,0,0,0.486,0
TXN-000041,14.98,21,0.256,1295,1401,0,4,11,0,0,0.666,0
TXN-000042,49.24,5,0.25,141,862,1,2,10,0,0,0.106,0
TXN-000043,12.98,4,0.302,58,1568,0,3,7,0,0,0.136,0
TXN-000044,40.46,17,0.404,925,1858,1,1,7,0,1,0.201,0
